[CSG, ATL, Columbus, GA, Atlanta, GA, 0, 149, 1, 83.0, 199008, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3878, 8820, 90, 83.0, 199003, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4279, 8232, 84, 83.0, 199006, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 46, 214, 2, 83.0, 199001, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2919, 8722, 89, 83.0, 199001, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 132, 284, 2, 83.0, 199010, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3682, 8526, 87, 83.0, 199005, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 36, 107, 1, 83.0, 199004, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3655, 8330, 85, 83.0, 199004, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 0, 119, 1, 83.0, 199010, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 76, 142, 1, 83.0, 199004, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 329, 444, 3, 83.0, 199011, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3347, 7742, 79, 83.0, 199011, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 140, 321, 3, 83.0, 199011, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 159, 214, 2, 83.0, 199007, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 193, 284, 2, 83.0, 199007, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3952, 8232, 84, 83.0, 199007, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 0, 120, 1, 83.0, 199005, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 182, 426, 3, 83.0, 199005, 266874, 3087755]
[CSG, ATL, Columbus, GA, Atlanta, GA, 127, 142, 1, 83.0, 199103, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4381, 8428, 86, 83.0, 199112, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 359, 568, 4, 83.0, 199107, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 37, 142, 1, 83.0, 199105, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4683, 8036, 82, 83.0, 199109, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2808, 7644, 78, 83.0, 199101, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 34, 107, 1, 83.0, 199112, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 98, 284, 2, 83.0, 199106, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 40, 107, 1, 83.0, 199109, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 34, 284, 2, 83.0, 199101, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4839, 8624, 88, 83.0, 199110, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 73, 107, 1, 83.0, 199102, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3550, 7448, 76, 83.0, 199102, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4372, 7546, 77, 83.0, 199104, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 74, 107, 1, 83.0, 199103, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 15, 148, 1, 83.0, 199110, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 55, 107, 1, 83.0, 199104, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 171, 426, 3, 83.0, 199104, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 82, 296, 2, 83.0, 199101, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 5077, 8036, 82, 83.0, 199106, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4041, 8134, 83, 83.0, 199103, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 97, 142, 1, 83.0, 199111, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 360, 642, 6, 83.0, 199107, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4295, 7644, 78, 83.0, 199111, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 343, 568, 4, 83.0, 199108, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4728, 8036, 82, 83.0, 199105, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 115, 148, 1, 83.0, 199109, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4444, 7252, 74, 83.0, 199108, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 293, 296, 2, 83.0, 199108, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 312, 642, 6, 83.0, 199108, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 5083, 7546, 77, 83.0, 199107, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 127, 148, 1, 83.0, 199103, 265953, 3163883]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3659, 6313, 59, 83.0, 199207, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 201, 284, 2, 83.0, 199207, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 292, 296, 2, 83.0, 199207, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 57, 148, 1, 83.0, 199209, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3339, 6099, 57, 83.0, 199208, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2750, 5885, 55, 83.0, 199211, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3202, 6206, 58, 83.0, 199212, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3846, 8428, 86, 83.0, 199204, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 34, 142, 1, 83.0, 199204, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1315, 2842, 29, 83.0, 199210, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 66, 142, 1, 83.0, 199209, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 24, 148, 1, 83.0, 199201, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1596, 3038, 31, 83.0, 199208, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3036, 5885, 55, 83.0, 199209, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 589, 1274, 13, 83.0, 199212, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1294, 2646, 27, 83.0, 199211, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2902, 8330, 85, 83.0, 199201, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1491, 3136, 32, 83.0, 199205, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 566, 1704, 12, 83.0, 199212, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1379, 2646, 27, 83.0, 199209, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2839, 5992, 56, 83.0, 199210, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 106, 444, 3, 83.0, 199210, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2761, 5564, 52, 83.0, 199205, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 80, 100, 1, 83.0, 199207, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 29, 107, 1, 83.0, 199203, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3793, 8526, 87, 83.0, 199203, 275045, 3245141]
